original_language,original_title,overview,popularity,release_date,vote_average,vote_count,movie,year,status
en,Seventh Heaven,"A Parisian sewer worker longs for a rise in status and a beautiful wife. He rescues a girl from the police, lives with her in a barren flat on the seventh floor, and then marches away to war.",2.465,1937-03-25,6.5,13.0,Seventh Heaven,1937,remake
,,,,,,,Aaina,2013,remake
hi,Pyar Jhukta Nahin,A wealthy man objects to his daughter's romance with a poor photographer.,0.93,1985-01-11,8.333,3.0,Pyar Jhukta Nahin,1985,remake
,,,,,,,Nee Bareda Kadambari,1985,remake
ur,Arth : The Destination,"A struggling musician meets a writer, whose marriage with her film director husband is in turmoil because of an upcoming actress.",0.6,2017-09-13,10.0,1.0,Arth - The Destination,2017,remake
en,Flubber,"Professor Phillip Brainard, an absent minded professor, works with his assistant Weebo, trying to create a substance that's a new source of energy and that will save Medfield College where his sweetheart Sara is the president. He has missed his wedding twice, and on the afternoon of his third wedding, Professor Brainard creates flubber, which allows objects to fly through the air.",19.205,1997-11-26,5.637,2121.0,Flubber,1997,remake
en,Adventures in Babysitting,"Two teen rival babysitters, Jenny and Lola, team up to hunt down one of their kids who accidentally ran away into the big city without any supervision.",13.927,2016-06-24,7.354,357.0,Adventures in Babysitting,2016,remake
hi,Bheegi Raat,,0.6,1965-01-01,0.0,0.0,Bheegi Raat,1965,remake
hi,मन,"A young woman falls in love with a handsome playboy, while aboard a Singapore to India cruise. They make plans to meet again, but fate may have other plans...",2.383,1999-07-09,6.464,28.0,Mann,1999,remake
en,Aladdin,A kindhearted street urchin named Aladdin embarks on a magical adventure after finding a lamp that releases a wisecracking genie while a power-hungry Grand Vizier vies for the same lamp that has the power to make their deepest wishes come true.,43.042,2019-05-22,7.116,9212.0,Aladdin,2019,remake
en,Alfie,"In Manhattan, the British limousine driver Alfie is surrounded by beautiful women, having one night stands with all of them and without any sort of commitment. His best friends are his colleague Marlon and his girl-friend Lonette. Alfie has a brief affair with Lonette, and the consequences force Alfie to reflect on his lifestyle.",10.398,2004-10-22,5.791,723.0,Alfie,2004,remake
en,The Amityville Horror,"This hair-raising remake of the 1979 horror hit depicts the ordeal of the Lutz clan, whose new home has a gory past and a legacy of demons. Before long, the family patriarch is plagued by nightmares and his daughter is seeing phantoms.",17.43,2005-04-14,6.107,1948.0,The Amityville Horror,2005,remake
en,Anastasia,"This animated adventure spins a more optimistic twist on the long-mythicized story of the ""lost daughter"" of Russia's last czar. A wicked sorcerer places a curse on the Romanov family, and Anastasia is separated from them during their attempts to escape from a rowdy revolt seizing their palace. Years later, after growing up with amnesia in an orphanage, ""Anya"" encounters two Russian men seeking a reward offered by the Dowager Empress Marie, for the return of her missing granddaughter. They decide to travel together to visit the Empress in Paris. Will Anya finally be reunited with her remaining family and find a loving home at last?",25.532,1997-11-20,7.61,4855.0,Anastasia,1997,remake
en,And Soon the Darkness,"When two American girls on a bike trip in a remote part of Argentina split up and one of them goes missing, the other must find her before her worst fears are realized.",6.629,2010-02-25,5.221,333.0,And Soon the Darkness,2010,remake
en,Angels in the Outfield,"Roger is a foster child whose irresponsible father promises to get his act together when Roger's favourite baseball team, the California Angels, wins the pennant. The problem is that the Angels are in last place, so Roger prays for help to turn the team around. Sure enough, his prayers are answered in the form of angel Al.",8.239,1994-07-15,5.962,370.0,Angels in the Outfield,1994,remake
en,The Tourist,"American tourist Frank meets mysterious British woman Elsie on the train to Venice. Romance seems to bud, but there's more to her than meets the eye.",19.259,2010-12-08,6.182,4988.0,The Tourist,2010,remake
de,Anthropophagous 2000,"The millionaire Nikos Karamanlis (Andreas Schnaas) and his family are on a boat trip, when they get into a storm, in which the daughter dies and the yacht sinks. After days without food on a life raft, Nikos needs to eat the corpse of his wife and daughter or die.  Later, a group of vacationers arrive at a remote island where Niko had made his home. Now insane and craving flesh, Niko Begins to pick them off, and a few of the survivors try to fight back.",0.6,1999-04-09,4.4,11.0,Anthropophagous 2000,1999,remake
en,The Next Three Days,"A married couple's life is turned upside down when the wife is accused of murdering her boss. Her husband John would spend the next few years trying to get her released, but there's no evidence that negates the evidence against her. When the strain of being separated from her husband and son gets to her, John decides to find a way to break her out.",20.801,2010-11-18,7.067,2556.0,The Next Three Days,2010,remake
en,Wicker Park,"Matthew, a young advertising executive in Chicago, puts his life and a business trip to China on hold when he thinks he sees Lisa, the love of his life who left him without a word two years earlier, walking out of a restaurant one day.",13.522,2004-09-03,6.877,601.0,Wicker Park,2004,remake
en,April Fool's Day,"The new ""April Fool's"" revolves around a party given by two rich siblings for their friend. Tragedy strikes when a friend falls over a balcony and dies. One year later, the teens responsible for the accident become the targets of a twisted killer who begins hunting them down one by one.",5.943,2008-03-25,4.4,67.0,April Fool's Day,2008,remake
en,Around the World in 80 Days,"A bet pits a British inventor, a Chinese thief and a French artist on a worldwide adventure that they can circle the globe in 80 days.",15.334,2004-06-16,5.904,2216.0,Around the World in 80 Days,2004,remake
en,The Arena,"In an age of Gladiators, the power that was Rome held its empire together with the might of its armies, the sweat and tears of its conquests, and the cheers and bloodlust of its citizens – glorified in the deadly spectacle of The Arena. Stolen from their homelands, the fiery Druid maiden Bodicia, exotic slave girl Jessemina, and the powerful barbarian Flavius, are pitted against each other as gladiators by the sadistic Roman Governor Timarchus. Banished by Caesar, Timarchus unleashes his frustration on his gladiators, staging extravagant spectacles of combat, orgy and death. In a violent world where only the strong survive, love and hate, life and death, are separated by an instant.",3.814,2001-08-28,3.2,12.0,The Arena,2001,remake
en,Arthur,A drunken playboy stands to lose a wealthy inheritance when he falls for a woman that his family doesn't like.,16.822,2011-04-08,5.599,662.0,Arthur,2011,remake
en,Assault on Precinct 13,"On New Year's Eve, inside a police station that's about to be closed for good, officer Jake Roenick must cobble together a force made up cops and criminals to save themselves from a mob looking to kill mobster Marion Bishop.",13.016,2005-01-19,6.1,938.0,Assault on Precinct 13,2005,remake
en,Attack of the 50 Ft. Woman,"When an abused heiress grows to giant size because of her encounter with aliens, she decides to get revenge on her cheating husband and those who looked down on her.",9.865,1994-09-28,4.743,72.0,Attack of the 50 Ft. Woman,1993,remake
te,Naa Autograph,"Naa Autograph (English: My Autograph) is a 2004 Tollywood film directed by S. Gopal Reddy. The film stars Ravi Teja as the protagonist, with Bhumika Chawla, Gopika, Mallika and Prakash Raj playing other important roles. The film is a remake of the superhit Tamil film Autograph which starred Cheran and Sneha in the lead roles.",1.603,2004-08-11,6.2,4.0,Naa Autograph,2004,remake
en,The Awful Truth,Story of a wealthy couple whose individual infidelities lead inexorably to the divorce court.,0.6,1929-08-10,0.0,0.0,The Awful Truth,1929,remake
en,The Awful Truth,"Unfounded suspicions lead a married couple to begin divorce proceedings, whereupon they start undermining each other's attempts to find new romance.",5.841,1937-10-20,7.297,246.0,The Awful Truth,1937,remake
en,Back Street,"Previously filmed in 1932, and remade a third time in 1961, this second film version of Fannie Hurst's novel stars Margaret Sullavan as a fashion designer in love with a married banker (Charles Boyer). Directed by Robert Stevenson, the film also stars Richard Carlson, Tim Holt, Frank McHugh, Esther Dale and Cecil Cunningham.",1.716,1941-02-07,7.4,8.0,Back Street,1941,remake
en,Bad News Bears,"Morris Buttermaker is a burned-out minor league baseball player who loves to drink and can't keep his hands to himself. His long-suffering lawyer arranges for him to manage a local Little League team, and Buttermaker soon finds himself the head of a rag-tag group of misfit players. Through unconventional team-building exercises and his offbeat coaching style, Buttermaker helps his hapless Bears prepare to meet their rivals, the Yankees.",9.701,2005-07-22,5.883,230.0,Bad News Bears,2005,remake
en,The Bad Seed,"Rachel is a 9-year-old girl who is perfection itself - unless she's crossed or challenged. Several disturbing recent incidents have led Rachel's mother Christine to suspect that her child is a latent murderess. Upon discovering that she herself is the daughter of a convicted killer, Christine becomes convinced that sweet little Rachel is a ""bad seed"" - an inherent killer who feels no remorse because she doesn't know any better.",1.859,1985-02-07,6.7,19.0,The Bad Seed,1985,remake
en,The Bad Seed,A widower suspects that his seemingly perfect adolescent daughter is a heartless killer.,14.105,2018-09-09,7.098,259.0,The Bad Seed,2018,remake
en,A Song Is Born,The story of seven scholars in search of an expert to teach them about swing music. They seem to have found the perfect candidate in winsome nightclub singer Honey Swanson. But Honey's gangster boyfriend doesn't want to give her up.,3.828,1948-10-19,6.5,36.0,A Song Is Born,1948,remake
en,Bangkok Dangerous,"When carrying out a hit, assassin Joe always makes use of the knowledge of the local population. On arriving in Bangkok, Joe meets street kid Kong and he becomes his primary aide. But when Kong is nearly killed, he asks Joe to train him up in the deadly arts and unwittingly becomes a target of a band of killers.",10.695,2008-08-21,5.163,899.0,Bangkok Dangerous,2008,remake
en,The Barefoot Executive,A television executive low-level begins to rise sharply by the career ladder when he discovers a chimpanzee with an unerring ability to find television programs that will achieve immediate success.,0.6,1995-11-11,5.0,1.0,The Barefoot Executive,1995,remake
en,Diamond Horseshoe,"Joe Davis Sr., headliner at a big nightclub, is visited by medical student son Joe Jr., who to Dad's chagrin wants to be a crooner, and soon comes between Dad and his girlfriend Claire. So glamorous dancer Bonnie is enlisted to distract Junior. Which does Bonnie want more, the fur coat or true love? Plot is a framework for numerous Ziegfeld style stage productions.",0.869,1945-05-02,4.0,1.0,Diamond Horseshoe,1945,remake
en,The Barretts of Wimpole Street,"Director Sidney Franklin's 1957 remake of his own 1934 film, about the romance of poets Elizabeth Barrett and Robert Browning.",0.6,1957-01-16,6.2,2.0,The Barretts of Wimpole Street,1957,remake
en,The Bat Whispers,"Infamous burglar ""The Bat"" commits a daring jewelry theft despite heavy police presence. Soon after, a bank theft occurs, which may be the work of the criminal as well. Meanwhile, Cornelia Van Gorder has various people arrive at her old mansion, including her niece, Dale, a bank employee, and police detective Anderson. When guests start turning up dead, Cornelia begins to suspect that The Bat may be lurking around the estate.",1.55,1930-11-13,6.1,21.0,The Bat Whispers,1930,remake
en,The Battle of the Sexes,"Gum-chewing frizzy-haired golddigger Marie Skinner cooks up a scheme with her lover Babe Winsor, a jazz hound, to fleece a portly middle-aged real estate tycoon, William Judson. Marie moves into Judson's apartment building and contrives to meet and seduce him, plying him with compliments, music, swoons, décolletage, and batted eyes. When his loyal wife (and their two children) see him out catting with Marie at a night club, mom's devastated and confronts him. He moves out. Babe wants Marie to sell Judson worthless bonds. Will mom commit suicide? Will sis shoot the floozy? Will pops figure out he's being a fool?",0.6,1928-10-12,4.9,9.0,The Battle of the Sexes,1928,remake
en,Beauty and the Beast,A live-action adaptation of Disney's version of the classic tale of a cursed prince and a beautiful young woman who helps him break the spell.,54.968,2017-03-16,6.963,14661.0,Beauty and the Beast,2017,remake
en,Bedazzled,"Elliot Richardson, a suicidal techno geek, is given seven wishes to turn his life around when he meets a very seductive Satan. The catch: his soul. Some of his wishes include a 7 foot basketball star, a rock star, and a hamburger. But, as could be expected, the Devil puts her own little twist on each of his fantasies.",18.208,2000-10-19,6.022,1631.0,Bedazzled,2000,remake
en,Dirty Rotten Scoundrels,"Two con men try to settle their rivalry by betting on who can be the first to swindle a young American heiress out of $50,000.",13.733,1988-12-14,7.105,720.0,Dirty Rotten Scoundrels,1988,remake
en,The Hustle,"Two female scam artists, one low rent and the other high class, compete to swindle a naïve tech prodigy out of his fortune. A remake of the 1988 comedy ""Dirty Rotten Scoundrels.""",20.811,2019-05-09,6.225,2278.0,The Hustle,2019,remake
en,Ben-Hur,"In 25 AD, Judah Ben-Hur, a Jew in ancient Judea, opposes the occupying Roman empire.  Falsely accused by a Roman childhood friend-turned-overlord of trying to kill the Roman governor, he is put into slavery and his mother and sister are taken away as prisoners.  Three years later and freed by a grateful Roman galley commander whom he has rescued from drowning, he becomes an expert charioteer for Rome, all the while plotting to return to Judea, find and rescue his family, and avenge himself on his former friend.  All the while, the form and work of Jesus move in the background of his life...",46.876,1959-11-18,7.9,2355.0,Ben-Hur,1959,remake
en,Ben-Hur,A falsely accused nobleman survives years of slavery to take vengeance on his best friend who betrayed him.,21.236,2016-08-17,5.718,1541.0,Ben-Hur,2016,remake
en,Beyond a Reasonable Doubt,Remake of a 1956 Fritz Lang film in which a novelist's investigation of a dirty district attorney leads to a setup within the courtroom.,10.591,2009-02-05,5.691,262.0,Beyond a Reasonable Doubt,2009,remake
en,No Way Out,"Navy Lt. Tom Farrell meets a young woman, Susan Atwell , and they share a passionate fling. Farrell then finds out that his superior, Defense Secretary David Brice, is also romantically involved with Atwell. When the young woman turns up dead, Farrell is put in charge of the murder investigation. He begins to uncover shocking clues about the case, but when details of his encounter with Susan surface, he becomes a suspect as well.",12.791,1987-08-14,6.916,558.0,No Way Out,1987,remake
en,Crackers,"Garvey is a San Francisco pawnshop operator. His unemployed and criminal friends Dillard, Turtle and Weslake, team up with Boardwalk, a local pimp, to burgle Garvey's shop while the owner is out of town. During the elaborate planning process, Dillard falls for a Hispanic woman, the sister of a friend. Boardwalk is assigned to case a local apartment, where he meets and falls for the maid. Amidst all these romantic hijinks, Weslake puts together a burglary plan, which is executed by the makeshift gang.",4.404,1984-02-17,4.6,24.0,Crackers,1984,remake
en,Welcome to Collinwood,"Five hapless inner-city low-lifes attempt to burgle a pawnbroker's safe, but end up being plagued by bad luck.",7.696,2002-05-24,6.197,175.0,Welcome to Collinwood,2002,remake
te,బిల్లా,A police inspector sends a gangster-lookalike to uncover the gang's secrets.,2.608,2009-04-03,5.583,12.0,Billa,2009,remake
en,The Preacher's Wife,"Good natured Reverend Henry Biggs finds that his marriage to choir mistress Julia is flagging, due to his constant absence caring for the deprived neighborhood they live in. On top of all this, his church is coming under threat from property developer Joe Hamilton. In desperation, Rev. Biggs prays to God for help - and help arrives in the form of an angel named Dudley.",9.4,1996-12-13,5.829,193.0,The Preacher's Wife,1996,remake
en,Black Christmas,"An escaped maniac returns to his childhood home on Christmas Eve, which is now a sorority house, and begins to murder the sorority sisters one by one.",9.412,2006-12-15,5.2,461.0,Black Christmas,2006,remake
en,Black Christmas,"During Christmas break, the women at Hawthorne College start being preyed upon by an unknown stalker. Riley, a girl dealing with her own trauma, decides to take matters into her own hands before her and her friends are murdered too.",7.877,2019-12-11,4.616,469.0,Black Christmas,2019,remake
en,Paws of Fury: The Legend of Hank,"A hard-on-his-luck hound finds himself in a town full of cats in need of a hero to defend them from a ruthless villain's wicked plot to wipe their village off the map. With help from a reluctant mentor, our underdog must assume the role of town samurai and team up with the villagers to save the day.",47.009,2022-07-14,6.8,230.0,Paws of Fury: The Legend of Hank,2022,remake
en,The Witness,"A brother's journey to unravel the truth about the mythic death and little known life of Kitty Genovese, who was reportedly murdered in front of 38 witnesses and has become the face of urban apathy.",4.561,2015-10-06,6.815,84.0,The Witness,2015,remake
en,The Blob,"In Arborville, California, three high school students discover a strange, gelatinous substance that melts the flesh of any living creatures in its path and wreaks havoc across town.",17.56,1988-08-05,6.693,723.0,The Blob,1988,remake
en,The Blue Angel,Remake of Josef von Sternberg's 1930 classic.,1.71,1959-09-04,6.143,7.0,The Blue Angel,1959,remake
en,Happy New Year,"Small time crooksters Nick and Charlie have an elaborate plan to rob an exclusive jewelers store. Using a variety of disguises and posing as rich old men and women they begin the set-up, but then Nick falls for the owner of a neighboring antique store and things get a little complicated.",2.175,1987-08-07,5.417,6.0,Happy New Year,1987,remake
en,Born Yesterday,A rich millionaire hires a sophisticated journalist to bring his somewhat dim-witted girlfriend up to the level of his peers. He fears that the showgirl's lack of etiquette may damage his own social reputation and tries to change her — but fails to realise that her enhanced eloquence will empower her to voice her own strong opinions.,4.823,1993-03-26,5.297,74.0,Born Yesterday,1993,remake
en,Down and Out in Beverly Hills,Beverly Hills couple Barbara and Dave Whiteman find their lives altered by the arrival of a vagrant who tries to drown himself in their swimming pool.,11.657,1986-01-31,5.9,217.0,Down and Out in Beverly Hills,1986,remake
fr,Boudu,"A modern remake of Renoir's classic film. Aix-en-Provence, a spring night. Christian Lespinglet, an over-indebted gallery owner, rescues a homeless man, Boudu, from the waters of a canal who was trying to drown himself. Heroic to his detriment, he brings him home, for a few hours only... The incongruous arrival of Boudu will act like a mad dog in the game of skittles that is Christian's life...",3.898,2005-03-09,4.6,79.0,Boudu,2005,remake
en,Breathless,"Jesse has to get out of Las Vegas quickly and steals a car to drive to L.A. On the way, he shoots a police officer. When he makes it to L.A. he stays with Monica, a girl he has only known for a few days. As the film progresses, the police get closer to him, and the crimes escalate.",11.09,1983-05-13,5.862,207.0,Breathless,1983,remake
en,Brewster's Millions,"Monte Brewster learns that he has inherited $10 million from his late grandfather, but then learns that he must spend $2 million in less than a year and remain unmarried to inherit the rest of the money.",0.6,1921-01-28,0.0,0.0,Brewster's Millions,1921,remake
en,Miss Brewster's Millions,"Polly Brewster, a penniless Hollywood model/movie extra inherits one million dollars. But her new lawyer, Tom Hancock, informs her that she has to spend it all within 30 days to inherit $5 million more from her spiteful Uncle Ned Brewster who tries to prevent it from happening.",0.6,1926-03-22,0.0,0.0,Miss Brewster's Millions,1926,remake
en,Brewster's Millions,"Jack Brewster is a pennyless English lad who learns that he has inherited 6 million pounds sterling from a recently deceased relative. But soon learns that he must spend 500,000 pounds in 60 days to inherit the rest of the money, or forfeit the entire inheritance.",0.6,1935-01-01,0.0,0.0,Brewster's Millions,1935,remake
en,Brewster's Millions,"Monty Brewster is a pennyless, former U.S. Army soldier back from World War II Europe who learns that he has inherited $8 million from a distant relative. But there's a catch: he must spend $1 million of that money in less than two months before his 30th birthday in order to inherit the rest.",1.514,1945-04-07,6.833,15.0,Brewster's Millions,1945,remake
te,Vaddante Dabbu,"Shyam, an artist, lives with Rama. They have a lavish lifestyle and run from the people they're indebted to until Shyam meets Saroja, an admirer of his work and they fall in love. Saroja's father gives Shyam a lot of money to spend. What does Shyam end up doing with all that money?",0.6,1954-02-19,0.0,0.0,Vaddante Dabbu,1954,remake
en,Three on a Spree,"A young man will inherit a huge fortune--8 million pounds--but to qualify, he must spend a million pounds in just two months. Easy to do? That's what you think!",0.651,1961-06-28,5.0,2.0,Three on a Spree,1961,remake
te,Babai Abbai,"The film begins with two con artists Bala & Veera who meet in a very crazy situation and start living together. Out of goodwill, they call each other as Babayi-Abbayi, and their livelihood is making debts and absconding from lenders. Once Bala is acquainted with a beautiful girl Krishnaveni / Krishna, daughter of a multi-millionaire Vara Prasada Rao and they fall in love. Being cognizant of it, Vara Prasada Rao assigns a task for Bala by allocating a huge amount of Rs.25 lakhs and asks him to spend it within 30 days. Eventually, warns him not to donate or destroy the money. At present, Bala starts the task under the guidance of Babai in various methods such as racing, gambling, making a movie, constructing the house, etc.",1.176,1985-05-02,0.0,0.0,Babai Abbai,1985,remake
en,Brewster's Millions,"Brewster, an aging minor-league baseball player, stands to inherit 300 million dollars if he can successfully spend 30 million dollars in 30 days without anything to show for it, and without telling anyone what he's up to... A task that's a lot harder than it sounds!",9.918,1985-05-22,6.6,492.0,Brewster's Millions,1985,remake
en,Maalamaal,"Raj (Naseeruddin Shah) is a slum dweller, who one day comes to know that he has inherited the business and property from his grand-father worth 3.3 billion Indian rupees. Stunned and delighted at the same time, he gleefully arrives at his former grand-father's estate to claim his inheritance, only to be told that there is a clause attached: which is that he must spend 300 Million rupees in 30 days or else risk losing his inheritance altogether. How can a slum dweller who has never held a thousand rupees in his hands on any given day, be expected to spend 10 million a day?",1.227,1988-11-01,7.333,4.0,Maalamaal,1988,remake
ta,அருணாச்சலம்,"Arunachalam, the son of a  prominent village elder, discovers the truth about his past.",5.939,1997-04-10,7.3,23.0,Arunachalam,1997,remake
pt,Tô Ryca!,"Selminha is a lower-class woman who receives a family inheritance, but only if she meets the challenge of spending 30 million reais in 30 days, without accumulating anything. However, in this marathon, she will find out that there are things that money does not buy.",4.424,2016-09-22,6.271,129.0,To Ryca!,2016,remake
zh,西虹市首富,"A pathetic minor league Soccer Goalkeeper was given a task - to spend 1 Billion in thirty days, if successful he will get 30 Billion. However, he's not allowed to tell anyone about the task and he must not own any valuables by end of it.",5.289,2018-07-27,6.899,69.0,Hello Mr. Billionaire,2018,remake
en,Brian's Song,"The story of professional football players Gale Sayes and Brian Piccolo, and how their friendship on and off the field was affected when Piccolo contracted a fatal disease",4.295,2001-12-02,6.5,11.0,Brian's Song,2001,remake
en,Bride Wars,Two best friends become rivals when their respective weddings are accidentally booked for the same day.,18.856,2009-01-09,6.242,2770.0,Bride Wars,2015,remake
en,Brighton Rock,"Charts the headlong fall of Pinkie, a razor-wielding disadvantaged teenager with a religious death wish.",7.091,2010-09-13,5.694,93.0,Brighton Rock,2010,remake
en,Riding High,"A horse trainer who has fallen on hard times looks to his horse, Broadway Bill, to finally win the big race.",1.722,1950-04-12,5.8,6.0,Riding High,1950,remake
en,Brothers,"When his helicopter goes down during his fourth tour of duty in Afghanistan, Marine Sam Cahill is presumed dead. Back home, brother Tommy steps in to look over Sam’s wife, Grace, and two children. Sam’s surprise homecoming triggers domestic mayhem.",52.764,2009-01-22,7.31,3012.0,Brothers,2009,remake
en,The Buccaneer,"During the War of 1812 against Britain: General Andrew Jackson has only 1,200 men left to defend New Orleans when he learns that a British fleet will arrive with 60 ships and 16,000 men to take the city. In this situation an island near the city becomes strategically important to both parties, but it's inhabited by the last big buccaneer: Jean Lafitte. Although Lafitte never attacks American ships, the governor hates him for selling merchandise without taxes - and is loved by the citizens for the same reason. When the big fight gets nearer, Lafitte is drawn between the fronts. His heart belongs to America, but his people urge him to join the party that's more likely to win.",8.393,1958-12-11,6.3,37.0,The Buccaneer,1958,remake
en,A Bucket of Blood,"Walter Paisley, a busboy at a cappuccino bar called the Jabberjaw, is praised as a genius after he kills his landlady's cat and covers it in plaster. Pressured to produce more work, he goes after bigger subjects.",2.297,1995-09-12,5.4,13.0,A Bucket of Blood,1995,remake
ja,ビルマの竪琴,"In the War's closing days, when a conscience-driven Japanese soldier fails to get his countrymen to surrender to overwhelming force, he adopts the lifestyle of a Buddhist monk.",0.767,1985-07-20,5.2,5.0,The Burmese Harp,1985,remake
en,Cabin Fever,"In this grisly remake of the 2002 horror hit, five college chums rent an isolated woodland cabin for a party. But their fun quickly ends when the group is exposed to a hideous flesh-eating virus, and survival becomes the name of the game.",10.412,2016-02-12,4.679,380.0,Cabin Fever,2016,remake
en,The Cabinet of Dr. Caligari,Remake of Das Cabinet des Dr. Caligari (1920). Shot entirely on green screen. Some exact shots from the 1920 film were superimposed to properly replicate the original. Francis relates the story of traveling magician Dr. Caligari and Cesare. Their arrival in a town coincides with savage killings.,2.631,2005-10-22,6.333,21.0,The Cabinet of Dr. Caligari,2005,remake
en,The Birdcage,A gay cabaret owner and his drag queen companion agree to put up a false straight front so that their son can introduce them to his fiancé's conservative moralistic parents.,15.357,1996-03-08,7.03,964.0,The Birdcage,1996,remake
en,Love Don't Co$t a Thing,High school loser pays a cheerleader to pose as his girlfriend so he can be considered cool.,15.351,2003-12-12,7.056,391.0,Love Don't Cost a Thing,2003,remake
en,Cape Fear,"Sam Bowden is a small-town corporate attorney. Max Cady is a tattooed, cigar-smoking, Bible-quoting, psychotic rapist. What do they have in common? 14 years ago, Sam was a public defender assigned to Max Cady's rape trial, and he made a serious error: he hid a document from his illiterate client that could have gotten him acquitted. Now, the cagey Cady has been released, and he intends to teach Sam Bowden and his family a thing or two about loss.",16.005,1991-11-13,7.257,2958.0,Cape Fear,1991,remake
it,Confessione di un commissario di polizia al procuratore della Repubblica,"A police captain arranges the release of a criminally insane prisoner, who soon winds up dead. When the District Attorney takes on the case, he uncovers corruption in the department and vows to take down the man who's responsible.",2.678,1971-03-26,6.724,29.0,The Captain,1971,remake
en,Carnival of Souls,A young woman is pursued in reality and in her subconscious by the sadistic carnival clown who raped and murdered her mother.,4.029,1998-08-21,3.8,37.0,Carnival of Souls,1998,remake
en,Carrie,"Carrie White is a lonely and painfully shy teenage girl with telekinetic powers who is slowly pushed to the edge of insanity by frequent bullying from both classmates at her school, and her own religious, but abusive, mother.",18.521,2002-11-04,6.144,411.0,Carrie,2002,remake
en,Carrie,"A reimagining of the classic horror tale about Carrie White, a shy girl outcast by her peers and sheltered by her deeply religious mother, who unleashes telekinetic terror on her small town after being pushed too far at her senior prom.",21.824,2013-10-16,6.03,4091.0,Carrie,2013,remake
en,The Cat Creeps,Disappearances and strange goings-on in a spooky old mansion.,1.341,1930-11-10,0.0,0.0,The Cat Creeps,1930,remake
